charge	x	y
1.0	1.0	0.0
0.9979866764718844	0.9979866764718844	0.0634239196565645
0.9919548128307953	0.9919548128307953	0.12659245357374926
0.9819286972627067	0.9819286972627067	0.1892512443604102
0.9679487013963562	0.9679487013963562	0.2511479871810792
0.9500711177409453	0.9500711177409453	0.3120334456984871
0.9283679330160726	0.9283679330160726	0.3716624556603275
0.9029265382866212	0.9029265382866212	0.4297949120891717
0.8738493770697849	0.8738493770697849	0.4861967361004687
0.8412535328311812	0.8412535328311812	0.5406408174555976
0.8052702575310585	0.8052702575310585	0.5929079290546405
0.766044443118978	0.766044443118978	0.6427876096865394
0.7237340381050702	0.7237340381050702	0.6900790114821119
0.6785094115571322	0.6785094115571322	0.7345917086575333
0.6305526670845224	0.6305526670845224	0.7761464642917569
0.5800569095711982	0.5800569095711982	0.8145759520503357
0.5272254676105024	0.5272254676105024	0.8497254299495144
0.47227107477268254	0.47227107477268254	0.8814533634475821
0.41541501300188644	0.41541501300188644	0.9096319953545183
0.3568862215918719	0.3568862215918719	0.9341478602651067
0.2969203753282747	0.2969203753282747	0.954902241444074
0.23575893550942728	0.23575893550942728	0.9718115683235417
0.17364817766693022	0.17364817766693022	0.9848077530122081
0.11083819990101088	0.11083819990101088	0.9938384644612541
0.0475819158237424	0.0475819158237424	0.998867339183008
-0.01586596383480803	-0.01586596383480803	0.9998741276738751
-0.07924995685678854	-0.07924995685678854	0.9968547759519424
-0.14231483827328523	-0.14231483827328523	0.9898214418809327
-0.20480666806519096	-0.20480666806519096	0.9788024462147786
-0.2664738136900348	-0.2664738136900348	0.9638421585599422
-0.32706796331742166	-0.32706796331742166	0.9450008187146685
-0.3863451256931287	-0.3863451256931287	0.9223542941045814
-0.4440666126057741	-0.4440666126057741	0.8959937742913359
-0.5000000000000002	-0.5000000000000002	0.8660254037844385
-0.5539200638661106	-0.5539200638661106	0.8325698546347712
-0.6056096871376668	-0.6056096871376668	0.795761840530832
-0.654860733945285	-0.654860733945285	0.7557495743542583
-0.7014748877063214	-0.7014748877063214	0.7126941713788627
-0.7452644496757547	-0.7452644496757547	0.6667690005162917
-0.7860530947427875	-0.7860530947427875	0.6181589862206051
-0.8236765814298329	-0.8236765814298329	0.5670598638627704
-0.8579834132349771	-0.8579834132349771	0.5136773915734063
-0.8888354486549234	-0.8888354486549234	0.4582265217274105
-0.9161084574320696	-0.9161084574320696	0.4009305354066136
-0.9396926207859084	-0.9396926207859084	0.3420201433256685
-0.9594929736144974	-0.9594929736144974	0.28173255684142967
-0.9754297868854072	-0.9754297868854072	0.22031053278654036
-0.9874388886763944	-0.9874388886763944	0.15800139597334945
-0.9954719225730846	-0.9954719225730846	0.09505604330418288
-0.9994965423831851	-0.9994965423831851	0.031727933498067656
-0.9994965423831851	-0.9994965423831851	-0.03172793349806786
-0.9954719225730846	-0.9954719225730846	-0.09505604330418307
-0.9874388886763943	-0.9874388886763943	-0.15800139597335008
